DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=3.0, TotDur=779.0, QtyDia=0.07
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=9.0, TotDur=779.0, QtyDia=0.22
DEBUG 46388: Cant=20.0, PP=1.0, Pend=19.0, SegDur=3.0, TotDur=779.0, QtyDia=0.07
DEBUG 47424: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 47423: Cant=30.0, PP=0.0, Pend=30.0, SegDur=8.1, TotDur=8.100000000000001, QtyDia=30.0
DEBUG 47422: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.55, TotDur=4.35, QtyDia=0.59
DEBUG 47422: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.8, TotDur=4.35, QtyDia=0.41
DEBUG 47550: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.5, TotDur=2.5, QtyDia=1.0
DEBUG 47496: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.91, TotDur=2.91, QtyDia=1.0
DEBUG 47490: Cant=1.0, PP=0.0, Pend=1.0, SegDur=3.59, TotDur=4.0, QtyDia=0.9
DEBUG 47490: Cant=1.0, PP=0.0, Pend=1.0, SegDur=0.41, TotDur=4.0, QtyDia=0.1
DEBUG 47417: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 47375: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.24, TotDur=5.82, QtyDia=0.73
DEBUG 47375: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.58, TotDur=5.82, QtyDia=0.27
DEBUG 47368: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.0, TotDur=4.0, QtyDia=1.0
DEBUG 47362: Cant=1.0, PP=0.0, Pend=1.0, SegDur=3.42, TotDur=5.0, QtyDia=0.68
DEBUG 47362: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.58, TotDur=5.0, QtyDia=0.32
DEBUG 47345: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 47331: Cant=1.0, PP=0.0, Pend=1.0, SegDur=1.0, TotDur=1.0, QtyDia=1.0
DEBUG 47127: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.0, TotDur=2.0, QtyDia=1.0
DEBUG 47456: Cant=150.0, PP=68.0, Pend=82.0, SegDur=0.07, TotDur=6.1499999999999995, QtyDia=0.93
DEBUG 47456: Cant=150.0, PP=68.0, Pend=82.0, SegDur=6.08, TotDur=6.1499999999999995, QtyDia=81.07
DEBUG 47337: Cant=10.0, PP=1.0, Pend=9.0, SegDur=1.44, TotDur=1.44, QtyDia=9.0
DEBUG 47259: Cant=10.0, PP=8.0, Pend=2.0, SegDur=0.5, TotDur=0.5, QtyDia=2.0
DEBUG 47064: Cant=1.0, PP=0.0, Pend=1.0, SegDur=0.98, TotDur=4.0, QtyDia=0.24
DEBUG 47064: Cant=1.0, PP=0.0, Pend=1.0, SegDur=3.02, TotDur=4.0, QtyDia=0.76
DEBUG 46174: Cant=1.0, PP=0.0, Pend=1.0, SegDur=2.25, TotDur=2.25, QtyDia=1.0
DEBUG 47549: Cant=5.0, PP=0.0, Pend=5.0, SegDur=2.25, TotDur=2.25, QtyDia=5.0
DEBUG 47489: Cant=30.0, PP=0.0, Pend=30.0, SegDur=1.48, TotDur=6.0, QtyDia=7.4
DEBUG 47489: Cant=30.0, PP=0.0, Pend=30.0, SegDur=4.52, TotDur=6.0, QtyDia=22.6
DEBUG 47374: Cant=30.0, PP=0.0, Pend=30.0, SegDur=4.48, TotDur=9.0, QtyDia=14.93
DEBUG 47374: Cant=30.0, PP=0.0, Pend=30.0, SegDur=4.52, TotDur=9.0, QtyDia=15.07
